what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1300229916079
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229927355
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229927366
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1300229929286
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1300229930299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229930335
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229933898
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1300229937856
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229939081
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229939101
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1300229939957
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1300229941138
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1300229941426
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1300229942596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1300229944017
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1300229945358
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1300229946591
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229964427
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229964445
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229964882
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229965878
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229965906
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229975977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229977790
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300229977808
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1300229981013
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1300229981015
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1300229981016
