what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.core,3.0.0.1289004506,"com.aptana.core",1300481944938
started,bundle,com.aptana.core.epl,3.0.0.1288967148,"com.aptana.core.epl",1300481944960
started,bundle,com.aptana.core.io,3.0.0.1288659999,"com.aptana.core.io",1300481944961
started,bundle,com.aptana.editor.php.epl,3.0.0.1288912037,"com.aptana.editor.php.epl",1300481944961
started,bundle,com.aptana.filewatcher,3.0.0.1287698435,"com.aptana.filewatcher",1300481944964
started,bundle,com.aptana.git.core,3.0.0.1289235412,"com.aptana.git.core",1300481944970
started,bundle,com.aptana.git.ui,3.0.0.1288967938,"com.aptana.git.ui",1300481944972
started,bundle,com.aptana.portal.ui,3.0.0.1289249915,"com.aptana.portal.ui",1300481944972
started,bundle,com.aptana.scripting,3.0.0.1288314203,"com.aptana.scripting",1300481944973
started,bundle,com.aptana.scripting.ui,3.0.0.1288994221,"com.aptana.scripting.ui",1300481944973
started,bundle,com.aptana.syncing.core,3.0.0.1288212249,"com.aptana.syncing.core",1300481944975
started,bundle,com.aptana.syncing.ui,3.0.0.1288225285,"com.aptana.syncing.ui",1300481944976
started,bundle,com.aptana.terminal,3.0.0.1289004511,"com.aptana.terminal",1300481944994
started,bundle,com.aptana.theme,3.0.0.1288985692,"com.aptana.theme",1300481944995
started,bundle,com.aptana.ui.io,3.0.0.1288986510,"com.aptana.ui.io",1300481944995
started,bundle,com.aptana.usage,3.0.0.1289263406,"com.aptana.usage",1300481944996
started,bundle,com.python.pydev.analysis,1.6.3.2010100422,"com.python.pydev.analysis",1300481944996
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1300481944998
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1300481944999
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1300481945034
started,bundle,org.python.pydev,1.6.3.2010100422,"org.python.pydev",1300481945046
started,bundle,org.python.pydev.core,1.6.3.2010100422,"org.python.pydev.core",1300481945046
os,sysinfo,,,"linux",1300481945048
arch,sysinfo,,,"x86_64",1300481945048
ws,sysinfo,,,"gtk",1300481945048
locale,sysinfo,,,"en_US",1300481945048
processors,sysinfo,,,"2",1300481945049
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1300481945049
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1300481945049
java.specification.name,sysinfo,,,"Java Platform API Specification",1300481945049
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300481945049
java.specification.version,sysinfo,,,"1.6",1300481945049
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1300481945049
java.version,sysinfo,,,"1.6.0_20",1300481945049
java.vm.info,sysinfo,,,"mixed mode",1300481945049
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1300481945049
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300481945049
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300481945049
java.vm.specification.version,sysinfo,,,"1.0",1300481945049
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1300481945049
java.vm.version,sysinfo,,,"19.0-b09",1300481945049
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1300481945542
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1300481945623
started,bundle,org.python.pydev.debug,1.6.3.2010100422,"org.python.pydev.debug",1300481945653
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1300481945816
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1300481948253
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1300481948411
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300481948526
started,bundle,com.aptana.parsing,3.0.0.1288199501,"com.aptana.parsing",1300481951112
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1300481951352
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1300481951877
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1300481956331
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1300481956413
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300481959220
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300481961048
started,bundle,com.aptana.index.core.ui,3.0.0.1288732298,"com.aptana.index.core.ui",1300481961069
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1300481961215
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300481962542
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1300481970907
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300481970963
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.TaskList",1300481973306
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.TaskList",1300481973316
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300481974167
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.TaskList",1300481975283
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1300481976046
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300481976858
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300481977970
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300481982642
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300482027624
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1300482027982
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1300482028639
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300482040054
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300482041651
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1300482046949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300482046978
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300482048471
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300482063978
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1300482064048
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildAll",1300482064286
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1300482071001
opened,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1300482074540
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1300482074595
activated,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1300482075532
closed,editor,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui.editor.CEditor",1300482075533
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1300482075551
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300482076323
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1300482077759
